品名,出し方,備考
冷蔵庫（冷凍冷蔵庫）,市が収集しないもの,（注）販売店などに引き取りを依頼
冷凍庫,市が収集しないもの,（注）販売店などに引き取りを依頼
冷風器,粗大ごみ,事前申込制
冷房機器（エアコン）,市が収集しないもの,（注）販売店などに引き取りを依頼
レーザーディスク（LD）,家庭ごみ,
レーザーディスクプレーヤー（LDプレーヤー）,粗大ごみ,事前申込制
レコード,家庭ごみ,
レコードプレーヤー,粗大ごみ,事前申込制
レシート,家庭ごみ,
レジ袋,プラスチック,
レジャーシート,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
レトルト食品の容器,プラスチック,
レンガ,粗大ごみ,事前申込制
レンジ台,粗大ごみ,事前申込制
レンジフード,粗大ごみ,事前申込制
レンズ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ローボード,粗大ごみ,事前申込制
ローラースケート,家庭ごみ,
ロッカー,粗大ごみ,事前申込制
ワープロ,粗大ごみ,事前申込制
ワイヤー,小物金属,小物金属回収ボックスへ  長い場合は巻いた状態で
ワイヤーロープ,家庭ごみ,
ワイン庫（ワインセラー）,市が収集しないもの,（注）販売店などに引き取りを依頼
ワイン栓（コルク）,家庭ごみ,
ワインびん,かん・びん,
ワゴン,粗大ごみ,事前申込制
わさびのチューブ（ふたを含む）,プラスチック,中身を使い切って
ワックスの缶,家庭ごみ,
